poi_geohash6,poi_id,poi_name,poi_latitude,poi_longitude,poi_house,poi_street,poi_country_name,poi_city_name,poi_category_l1,poi_category_l2,poi_category_l3,poi_postcode,poi_l1,poi_l2,poi_l3,poi_l4
w3gv6g,IT.0BKV0RQ4BDJBY,"{""en"":""47A Dong Ho St."",""vi"":""47A Đông Hồ""}",10.78391571,106.6518162,47A,"{""en"":""Dong Ho St""}",Vietnam,Ho Chi Minh,residential,,,70000,Ho Chi Minh City,Tan Hoa Ward,,
w3gyjp,IT.0F4HPBATID09S,"{""en"":""71 D3B St."",""vi"":""71 Đường D3B""}",10.941838092494692,106.75225804662523,71 ,"{""en"":""Đường D3b"",""vi"":""Đường D3b""}",Vietnam,Ho Chi Minh,residential,,,75000,Ho Chi Minh City,Tan Dong Hiep Ward,,KP.Tân Phước
w3gyjp,IT.0UX8N1BOKE26T,"{""en"":""22/A4 Street C3 - KP.3"",""vi"":""22/A4 Đường C3 - KP.3""}",10.938964465677046,106.74466112185286,22/A4,"{""en"":""Đường C3"",""vi"":""Đường C3""}",Vietnam,Ho Chi Minh,residential,,,75000,Ho Chi Minh City,An Phu Ward,,
w3gv6g,IT.12W87X260DCQZ,"{""en"":""BM Production - Trading - Service Co.,LTD"",""vi"":""Công Ty TNHH SX - TM - DV BM""}",10.788166,106.64942,11/22,"{""en"":""Phạm Phú Thứ"",""vi"":""Phạm Phú Thứ""}",Vietnam,Ho Chi Minh,industrial,company type,,70000,Ho Chi Minh City,Bay Hien Ward,,
w3gv6g,IT.1494CO8ENYD0K,"{""en"":""37/14 Dang Minh Tru St."",""vi"":""37/14 Đặng Minh Trứ""}",10.78565856,106.6466445,37/14,"{""en"":""Dang Minh Tru St.""}",Vietnam,Ho Chi Minh,residential,,,70000,Ho Chi Minh City,Bay Hien Ward,,
w3gv6g,IT.160SJGGRE5PER,"{""en"":""16/46 Thai Thi Nhan St."",""vi"":""16/46 Thái Thị Nhạn""}",10.78396052,106.6447289,16/46,"{""en"":""Thái Thị Nhạn"",""vi"":""Thái Thị Nhạn""}",Vietnam,Ho Chi Minh,residential,,,70000,Ho Chi Minh City,Bay Hien Ward,,
w3gv6g,IT.186VTOB36AAJV,"{""en"":""Xôi Xoài Hà Vân Food Tân Bình Hồng Lạc""}",10.787364131026862,106.64882944491217,130/31,"{""en"":""Hong Lac""}",Vietnam,Ho Chi Minh,food and beverage,vietnamese,,70000,Ho Chi Minh City,Bay Hien Ward,,
w3gv6g,IT.1F7KMX0AL19G0,"{""en"":""21/15 Hong Lac St."",""vi"":""21/15 Hồng Lạc""}",10.7846796,106.6500725,21/15,"{""en"":""Hong Lac""}",Vietnam,Ho Chi Minh,residential,,,70000,Ho Chi Minh City,Bay Hien Ward,,
w3gv6g,IT.1HJFHEM5P6W1J,"{""en"":""363 Vo Thanh Trang St."",""vi"":""363 Võ Thành Trang""}",10.78799821,106.6465424,363,"{""en"":""Võ Thành Trang"",""vi"":""Võ Thành Trang""}",Vietnam,Ho Chi Minh,residential,,,70000,Ho Chi Minh City,Bay Hien Ward,,
w3gv6g,IT.1I5Y2XEC0I2P1,"{""en"":""1017/34 Lac Long Quan St."",""vi"":""1017/34 Lạc Long Quân""}",10.788056598960594,106.64805221597436,1017/34,"{""en"":""Lạc Long Quân"",""vi"":""Lạc Long Quân""}",Vietnam,Ho Chi Minh,residential,,,70000,Ho Chi Minh City,Bay Hien Ward,,
